strategy,lane,attempts
direct_only,direct-0,115200
ephemeral_only,ephemeral-0,115200
fixed_only,fixed-0,115200
fso,direct-0,950
fso,ephemeral-0,19994
fso,ephemeral-1,19436
fso,fixed-0,112
fso,generated-0,67750
fso,generated-1,39306
fso_fixed_code,direct-0,19951
fso_fixed_code,ephemeral-0,77934
fso_fixed_code,ephemeral-1,64380
fso_fixed_code,fixed-0,6624
fso_fixed_code,generated-0,76893
fso_fixed_code,generated-1,53738
fso_no_diversity,direct-0,1
fso_no_diversity,ephemeral-0,42
fso_no_diversity,ephemeral-1,11
fso_no_diversity,generated-0,93509
fso_no_diversity,generated-1,53147
fso_no_feedback,ephemeral-0,32886
fso_no_feedback,ephemeral-1,3305
fso_no_feedback,generated-0,92009
fso_no_feedback,generated-1,23128
fso_no_redundancy,direct-0,274
fso_no_redundancy,ephemeral-0,13318
fso_no_redundancy,ephemeral-1,11252
fso_no_redundancy,fixed-0,16
fso_no_redundancy,generated-0,52948
fso_no_redundancy,generated-1,37392
fso_no_semantics,direct-0,911
fso_no_semantics,ephemeral-0,69879
fso_no_semantics,ephemeral-1,52326
fso_no_semantics,fixed-0,37
fso_no_semantics,generated-0,66994
fso_no_semantics,generated-1,40253
generated_only,generated-0,115200
performance_only,direct-0,96495
performance_only,ephemeral-0,698
performance_only,ephemeral-1,658
performance_only,fixed-0,15495
performance_only,generated-0,975
performance_only,generated-1,879
random_failover,direct-0,24968
random_failover,ephemeral-0,26358
random_failover,ephemeral-1,26471
random_failover,fixed-0,24432
random_failover,generated-0,26394
random_failover,generated-1,26456
session_failover,direct-0,273
session_failover,ephemeral-0,12926
session_failover,ephemeral-1,8799
session_failover,fixed-0,4
session_failover,generated-0,69731
session_failover,generated-1,42209
